path,module,exists,size,title,charset_meta,h1_count,suspicious,broken_internal_links,notes
bible_study/timeline_viewer.html,bible_study,1,20434,聖經時間軸工具,UTF-8,1,,0,
bible_study/tools/db_analyzer.html,bible_study,1,8863,數據庫結構分析器 - Bible100,UTF-8,1,,0,
bible_study/tools/db_diagnosis.html,bible_study,1,5518,數據庫診斷工具 - Bible100,UTF-8,1,,0,
bible_study/tools/db_to_json_converter.html,bible_study,1,8139,數據庫轉 JSON 工具 - Bible100,UTF-8,1,,0,
bible_study/tools/test_tools.html,bible_study,1,1962,DB 工具檢查清單 - Bible100,UTF-8,1,test,0,
bible_study/unified_bible_reader.html,bible_study,0,,,,,,,FILE_MISSING
bible_study/versions/cnv.html,bible_study,1,8221,新譯本 - 聖經閱讀,UTF-8,1,,1,BROKEN_LINKS
bible_study/versions/kjv.html,bible_study,1,9118,King James Version (KJV) - Bible Reading,UTF-8,1,,0,
bible_study/versions/luzhenzhong.html,bible_study,1,8110,呂振中譯本 - 聖經閱讀,UTF-8,1,,1,BROKEN_LINKS
bible_study/versions/niv.html,bible_study,1,9230,New International Version (NIV) - Bible Reading,UTF-8,1,,0,
bible_study/versions/union.html,bible_study,1,8318,和合本 - 聖經閱讀,UTF-8,1,,1,BROKEN_LINKS
church_ministry/_landing/education.html,church_ministry,1,4408,教育事工中心,UTF-8,1,,0,
church_ministry/_landing/fellowship.html,church_ministry,1,4384,團契事工中心,UTF-8,1,,0,
church_ministry/_landing/research_development.html,church_ministry,1,18361,研究拓展 Research & Development,UTF-8,1,,0,
church_ministry/_landing/worship.html,church_ministry,1,4808,敬拜事工中心,UTF-8,1,,1,BROKEN_LINKS
church_ministry/activities-overview.html,church_ministry,1,8602,事工與專案管理（A 模組） - 教會事工,UTF-8,1,,0,
church_ministry/administration.html,church_ministry,1,3042,行政管理 - 教會事工平台,UTF-8,1,,0,
church_ministry/ai-and-compliance.html,church_ministry,1,13185,AI 決策輔助與合規擴展（第 4 階段） - 教會事工,UTF-8,1,,0,
church_ministry/community-overview.html,church_ministry,1,19063,社群與捐款人互動（C 模組） - 教會事工,UTF-8,1,,0,
